SKIPPED Monday Room C-308 03:55-05:15: 'OOP (CS-B, 25)'
SKIPPED Monday Room C-402 03:55-05:15: 'COAL (CS-B, 24)'
SKIPPED Monday Room D-406 01:00-02:20: 'PDC (CS-B, 23)'
SKIPPED Tuesday Room C-308 03:55-05:15: 'Discrete (CS-B, 25)'
SKIPPED Wednesday Room C-308 03:55-05:15: 'OOP (CS-B, 25)'
SKIPPED Wednesday Room C-403 03:55-05:15: 'COAL (CS-B, 24)'
SKIPPED Wednesday Room C-407 02:30-03:50: 'PDC (CS-B, 23) ReSch'
SKIPPED Wednesday Room D-406 02:30-03:50: 'PDC (CS-B, 23)'
SKIPPED Thursday Room C-309 03:55-05:15: 'Discrete (CS-B, 25)'
SKIPPED Thursday Room Margala 1 (C-209) 02:30-03:50: 'OOP Lab (CS-B, 25)'
SKIPPED Friday Room Rawal 1 (C-509) 01:00-02:20: 'COAL Lab (CS-B, 24)'
